provider,model,resolution,duration_s,submitted_utc,wall_s,provider_elapsed_s,first_running_s,tokens,cost_usd
minimax,MiniMax-H3-Max,480P,5,2026-09-25T05:01:10Z,,,,,0.25
openrouter,bytedance/seedance-2.5,480p,5,2026-09-25T05:01:10Z,,,,,0.514
openrouter,bytedance/seedance-2.5,480p,5,,201.2,,,,0.5183
fal,bytedance/seedance-2.5/text-to-video,480p,4,2026-09-25T05:05:57Z,297.6,,0.4,,0.8224
minimax,MiniMax-H3-Max,480P,5,2026-09-25T05:12:06Z,5.1,5,0.5,,0.25
minimax,MiniMax-H3-Max,768P,5,2026-09-25T05:12:22Z,7.3,6,0.5,,0.4
minimax,MiniMax-H3,768P,5,2026-09-25T05:12:22Z,123.5,123,0.7,162745,0.4
minimax,MiniMax-H3,768P,5,2026-09-25T05:12:31Z,149.4,148,0.5,162745,0.4
minimax,MiniMax-H3-Max,768P,15,2026-09-25T05:15:02Z,40.8,22,0.5,,1.2
minimax,MiniMax-H3,768P,10,2026-09-25T05:14:27Z,202.7,201,0.5,325490,0.8
minimax,MiniMax-H3,2K,5,2026-09-25T05:15:44Z,215.4,212,0.7,260390,0.65
minimax,MiniMax-H3-Max,480P,5,2026-09-25T05:19:21Z,5.1,5,0.6,,0.25
minimax,MiniMax-H3,768P,15,2026-09-25T05:17:51Z,301.0,301,0.5,488235,1.2
minimax,MiniMax-H3,768P,15,2026-09-25T05:19:27Z,294.7,293,0.5,488235,1.2
minimax,MiniMax-H3-Max,768P,5,2026-09-25T05:24:23Z,7.3,7,0.6,,0.4
minimax,MiniMax-H3,2K,5,2026-09-25T05:22:53Z,197.7,197,0.5,260390,0.65
minimax,MiniMax-H3,768P,5,2026-09-25T05:26:12Z,104.6,104,0.6,162745,0.4
