workload,model_file,precision,text_encoder,phase,run,seed,width,height,frames,fps,steps,sampler,cfg,seconds,chip_mean_w,chip_gross_wh,chip_net_wh,cpu_wh,gpu_wh,ane_wh,output_seconds,chip_gross_wh_per_output_s,chip_net_wh_per_output_s,gpu_busy,comfy_peak_footprint_mb,swap_growth_mb,memory_pressure_max
SDXL base 1.0,sd_xl_base_1.0.safetensors,"fp16 UNet, bf16 VAE",CLIP-L + OpenCLIP-G fp16 (CPU),warmup,0,1000,1024,1024,,,30,euler / normal,7.0,169.23,14.877,0.6993,0.6928,0.033,0.6664,0.0,,,,0.91,12139.5,1870,critical
SDXL base 1.0,sd_xl_base_1.0.safetensors,"fp16 UNet, bf16 VAE",CLIP-L + OpenCLIP-G fp16 (CPU),timed,1,1001,1024,1024,,,30,euler / normal,7.0,157.2,15.756,0.688,0.6819,0.0122,0.6757,0.0,,,,0.97,11835.2,193,warning
SDXL base 1.0,sd_xl_base_1.0.safetensors,"fp16 UNet, bf16 VAE",CLIP-L + OpenCLIP-G fp16 (CPU),timed,2,1002,1024,1024,,,30,euler / normal,7.0,154.75,15.972,0.6866,0.6806,0.0121,0.6745,0.0,,,,0.988,12064.5,886,warning
SDXL base 1.0,sd_xl_base_1.0.safetensors,"fp16 UNet, bf16 VAE",CLIP-L + OpenCLIP-G fp16 (CPU),timed,3,1003,1024,1024,,,30,euler / normal,7.0,157.42,15.796,0.6907,0.6846,0.0235,0.6672,0.0,,,,0.976,12105.7,0,warning
SDXL base 1.0,sd_xl_base_1.0.safetensors,"fp16 UNet, bf16 VAE",CLIP-L + OpenCLIP-G fp16 (CPU),timed,4,1004,1024,1024,,,30,euler / normal,7.0,158.09,15.705,0.6897,0.6835,0.0276,0.6621,0.0,,,,0.979,11698.5,0,warning
SDXL base 1.0,sd_xl_base_1.0.safetensors,"fp16 UNet, bf16 VAE",CLIP-L + OpenCLIP-G fp16 (CPU),timed,5,1005,1024,1024,,,30,euler / normal,7.0,159.38,15.458,0.6844,0.6782,0.0168,0.6676,0.0,,,,0.966,11707.4,0,normal
Z-Image Turbo,z-image-turbo-Q4_K_M.gguf,"GGUF Q4_K_M, bf16 compute",Qwen3-4B-Q4_K_M.gguf (CPU),warmup,0,1000,1024,1024,,,8,"res_multistep / simple, shift 3",1.0,188.14,16.829,0.8795,0.8722,0.0208,0.8587,0.0,,,,0.938,11216.5,0,normal
Z-Image Turbo,z-image-turbo-Q4_K_M.gguf,"GGUF Q4_K_M, bf16 compute",Qwen3-4B-Q4_K_M.gguf (CPU),timed,1,1001,1024,1024,,,8,"res_multistep / simple, shift 3",1.0,187.37,16.948,0.8821,0.8749,0.024,0.8581,0.0,,,,0.945,12126.5,666,critical
Z-Image Turbo,z-image-turbo-Q4_K_M.gguf,"GGUF Q4_K_M, bf16 compute",Qwen3-4B-Q4_K_M.gguf (CPU),timed,2,1002,1024,1024,,,8,"res_multistep / simple, shift 3",1.0,182.58,17.586,0.8919,0.8848,0.0311,0.8589,0.0019,,,,0.967,10719.5,392,warning
Z-Image Turbo,z-image-turbo-Q4_K_M.gguf,"GGUF Q4_K_M, bf16 compute",Qwen3-4B-Q4_K_M.gguf (CPU),timed,3,1003,1024,1024,,,8,"res_multistep / simple, shift 3",1.0,188.22,17.04,0.8909,0.8836,0.0355,0.8554,0.0,,,,0.94,11366.5,0,normal
Z-Image Turbo,z-image-turbo-Q4_K_M.gguf,"GGUF Q4_K_M, bf16 compute",Qwen3-4B-Q4_K_M.gguf (CPU),timed,4,1004,1024,1024,,,8,"res_multistep / simple, shift 3",1.0,189.32,17.543,0.9226,0.9153,0.0603,0.8619,0.0005,,,,0.94,11833.2,587,warning
Z-Image Turbo,z-image-turbo-Q4_K_M.gguf,"GGUF Q4_K_M, bf16 compute",Qwen3-4B-Q4_K_M.gguf (CPU),timed,5,1005,1024,1024,,,8,"res_multistep / simple, shift 3",1.0,181.25,17.317,0.8719,0.8648,0.0159,0.8559,0.0,,,,0.967,10647.8,488,normal
LTX-Video 2B distilled 0.9.8,ltxv-2b-0.9.8-distilled.safetensors,bf16,t5-v1_1-xxl-encoder-Q4_K_M.gguf (CPU),warmup,0,1000,768,512,121,24,8,euler / LTXVScheduler,1.0,136.65,14.851,0.5637,0.5584,0.0496,0.5141,0.0,5.0417,0.1118,0.1108,0.803,14478.3,4778,critical
LTX-Video 2B distilled 0.9.8,ltxv-2b-0.9.8-distilled.safetensors,bf16,t5-v1_1-xxl-encoder-Q4_K_M.gguf (CPU),timed,1,1001,768,512,121,24,8,euler / LTXVScheduler,1.0,138.61,14.779,0.569,0.5636,0.0534,0.5156,0.0,5.0417,0.1129,0.1118,0.798,14299.4,2898,critical
"LTX-Video 2B distilled 0.9.8, tiled VAE decode",ltxv-2b-0.9.8-distilled.safetensors,bf16,t5-v1_1-xxl-encoder-Q4_K_M.gguf (CPU),warmup,0,1000,768,512,121,24,8,euler / LTXVScheduler,1.0,137.44,15.217,0.581,0.5756,0.0484,0.5325,0.0,5.0417,0.1152,0.1142,0.832,13992.3,3076,warning
"LTX-Video 2B distilled 0.9.8, tiled VAE decode",ltxv-2b-0.9.8-distilled.safetensors,bf16,t5-v1_1-xxl-encoder-Q4_K_M.gguf (CPU),timed,1,1001,768,512,121,24,8,euler / LTXVScheduler,1.0,140.35,14.975,0.5838,0.5784,0.0524,0.5314,0.0,5.0417,0.1158,0.1147,0.814,14976.6,3420,critical
Real-ESRGAN 2x upscale of the LTX clip,RealESRGAN_x2plus.pth,default,none,warmup,0,1000,1536,1024,121,24,,none,,171.36,14.098,0.671,0.6644,0.0199,0.6512,0.0,5.0417,0.1331,0.1318,0.97,6686.1,0,normal
Real-ESRGAN 2x upscale of the LTX clip,RealESRGAN_x2plus.pth,default,none,timed,1,1001,1536,1024,121,24,,none,,170.03,14.433,0.6817,0.6751,0.0199,0.6618,0.0,5.0417,0.1352,0.1339,0.981,8884.8,0,normal
Real-ESRGAN 2x upscale of the LTX clip,RealESRGAN_x2plus.pth,default,none,timed,2,1002,1536,1024,121,24,,none,,173.99,15.394,0.744,0.7373,0.079,0.665,0.0,5.0417,0.1476,0.1462,0.976,8936.9,0,normal
Real-ESRGAN 2x upscale of the LTX clip,RealESRGAN_x2plus.pth,default,none,timed,3,1003,1536,1024,121,24,,none,,170.03,14.21,0.6711,0.6645,0.0184,0.6528,0.0,5.0417,0.1331,0.1318,0.982,8962.3,0,normal
Wan 2.1 T2V 1.3B,wan2.1_t2v_1.3B_fp16.safetensors,"fp16, bf16 VAE",umt5-xxl-encoder-Q4_K_M.gguf (CPU),warmup,0,1000,832,480,81,16,2,"uni_pc / simple, shift 8",6.0,953.15,14.802,3.9192,3.8822,0.1126,3.8065,0.0001,5.0625,0.7742,0.7669,0.967,13083.6,1250,warning
Wan 2.1 T2V 1.3B,wan2.1_t2v_1.3B_fp16.safetensors,"fp16, bf16 VAE",umt5-xxl-encoder-Q4_K_M.gguf (CPU),timed,1,1001,832,480,81,16,30,"uni_pc / simple, shift 8",6.0,12295.17,14.798,50.5406,50.064,1.0052,49.5312,0.0043,5.0625,9.9833,9.8892,0.997,12911.4,2820,warning
